,x
großmütiger,-0.794642857142857
mannsperson,-0.75
glückseligkeit,-0.741071428571429
ansehnlich,-0.732142857142857
mitleiden,-0.669642857142857
beistehen,-0.669642857142857
erhaltung,-0.660714285714286
materie,-0.651785714285714
unüberwindlich,-0.651785714285714
gewahr,-0.625
bedenke,-0.625
zurück,-0.616071428571429
vorsehung,-0.616071428571429
hintergangen,-0.607142857142857
empfindlich,-0.598214285714286
gleichgültigkeit,-0.598214285714286
zustoßen,-0.598214285714286
hereintret,-0.589285714285714
zunehmen,-0.589285714285714
pots,-0.580357142857143
würdest,-0.5625
geschicklichkeit,-0.553571428571429
torheiten,-0.553571428571429
ermuntern,-0.553571428571429
erkühnen,-0.553571428571429
allerliebst,-0.544642857142857
untertänig,-0.544642857142857
beleidigt,-0.544642857142857
anfing,-0.544642857142857
anstalten,-0.544642857142857
unerfahren,-0.544642857142857
erniedrigung,-0.535714285714286
mitgeben,-0.535714285714286
zusammenkunft,-0.535714285714286
aussöhnen,-0.535714285714286
zureden,-0.535714285714286
widrig,-0.535714285714286
beilegen,-0.535714285714286
zuvorkommen,-0.535714285714286
ausschweifung,-0.526785714285714
monsieur,-0.526785714285714
unvermutet,-0.526785714285714
nichtswürdiger,-0.526785714285714
majestätisch,-0.526785714285714
verlängern,-0.526785714285714
unbesonnenheit,-0.526785714285714
maure,-0.517857142857143
verbindlichkeit,-0.517857142857143
erbarmung,-0.517857142857143
entkräften,-0.517857142857143
lebhaftigkeit,-0.517857142857143
einschläfern,-0.517857142857143
frohlocken,-0.508928571428571
ansehung,-0.508928571428571
hereintritt,-0.508928571428571
tugendhaft,-0.5
belohnung,-0.5
überreden,-0.5
gehorsam,-0.5
vorzug,-0.5
gütigkeit,-0.5
mannspersone,-0.5
mühle,-0.491071428571429
aufopfern,-0.491071428571429
weggehen,-0.491071428571429
zumuten,-0.491071428571429
ausgehalten,-0.491071428571429
historie,-0.482142857142857
hervorbringen,-0.482142857142857
vorschlagen,-0.482142857142857
unaussprechlich,-0.482142857142857
brüderlich,-0.482142857142857
beredsamkeit,-0.482142857142857
mutwillig,-0.482142857142857
donnerschlag,-0.482142857142857
ungewißheit,-0.473214285714286
gereuen,-0.473214285714286
anbeter,-0.473214285714286
zuziehen,-0.473214285714286
müßtest,-0.473214285714286
zurücken,-0.473214285714286
anständig,-0.473214285714286
aufopferung,-0.473214285714286
aufräumen,-0.464285714285714
fächer,-0.464285714285714
schimpflich,-0.464285714285714
allerliebster,-0.464285714285714
haustüre,-0.464285714285714
zärtlichster,-0.464285714285714
enterben,-0.464285714285714
entwürfe,-0.464285714285714
kostbarkeit,-0.464285714285714
verschloßen,-0.464285714285714
ausdenken,-0.464285714285714
beschwerlich,-0.464285714285714
nachlaufen,-0.464285714285714
unwahrheit,-0.464285714285714
etwan,-0.455357142857143
standhaftigkeit,-0.455357142857143
lasterhaft,-0.455357142857143
schwermütig,-0.455357142857143
reverenz,-0.446428571428571
zurechte,-0.446428571428571
etlicher,-0.446428571428571
benachbart,-0.446428571428571
monarch,-0.4375
ausspruch,-0.4375
laßt,-0.4375
menschlichkeit,-0.4375
aussuchen,-0.4375
sachten,-0.428571428571429
erzeigen,-0.428571428571429
verbirg,-0.428571428571429
erwünscht,-0.428571428571429
verdenken,-0.428571428571429
anmerkung,-0.428571428571429
güt,-0.428571428571429
grösse,-0.428571428571429
misstrauen,-0.428571428571429
antreffen,-0.419642857142857
nichtswürdig,-0.419642857142857
vorhaben,-0.419642857142857
entzückung,-0.419642857142857
grade,-0.419642857142857
versüßen,-0.419642857142857
verführung,-0.419642857142857
aufgetragen,-0.419642857142857
vergraben,-0.419642857142857
herbringen,-0.419642857142857
triebe,-0.419642857142857
ansprüche,-0.410714285714286
hindernis,-0.410714285714286
vorzüge,-0.410714285714286
verdrießlich,-0.410714285714286
unerträglich,-0.410714285714286
bitterkeit,-0.410714285714286
and,-0.410714285714286
beruhigung,-0.410714285714286
anfallen,-0.410714285714286
irre,-0.410714285714286
gaffen,-0.410714285714286
tonne,-0.410714285714286
entzweien,-0.410714285714286
mutwille,-0.410714285714286
einkommen,-0.410714285714286
retteen,-0.410714285714286
abrede,-0.410714285714286
vergeblich,-0.410714285714286
tausendfach,-0.410714285714286
liebstes,-0.401785714285714
umkommen,-0.401785714285714
anliegen,-0.401785714285714
unverschämtheit,-0.401785714285714
beliebe,-0.401785714285714
eingeben,-0.401785714285714
geheimniss,-0.401785714285714
klasse,-0.401785714285714
schmeicheleie,-0.401785714285714
untergraben,-0.401785714285714
kammerfrau,-0.401785714285714
mitleidig,-0.401785714285714
ereifern,-0.401785714285714
eimer,-0.401785714285714
entzückend,-0.401785714285714
forderen,-0.401785714285714
altär,-0.401785714285714
umdrehen,-0.401785714285714
hsen,-0.401785714285714
verfertigen,-0.401785714285714
e,-0.392857142857143
aufgeopferen,-0.392857142857143
abhelfen,-0.392857142857143
keuschheit,-0.392857142857143
rühmlich,-0.392857142857143
wiederkehr,-0.392857142857143
hagel,-0.392857142857143
hinführen,-0.392857142857143
schutzengel,-0.392857142857143
übereilt,-0.392857142857143
unwert,-0.392857142857143
wertest,-0.383928571428571
säuseln,-0.383928571428571
überführen,-0.383928571428571
gepriesen,-0.383928571428571
zeiget,-0.383928571428571
aussteuer,-0.383928571428571
erröte,-0.383928571428571
begierde,-0.375
stillschweigen,-0.375
geh,-0.375
grausamkeit,-0.375
außerordentlich,-0.375
dächten,-0.375
fakultät,-0.375
meerkatze,-0.375
ermahnung,-0.375
garstig,-0.366071428571429
marter,-0.366071428571429
verzweifelt,-0.366071428571429
ander,-0.366071428571429
bestürmen,-0.366071428571429
gebärd,-0.366071428571429
prellen,-0.366071428571429
deinige,-0.366071428571429
tresse,-0.366071428571429
verlöbnis,-0.366071428571429
fürsten,-0.357142857142857
schwierigkeit,-0.357142857142857
lächerlich,-0.357142857142857
winseln,-0.357142857142857
verführer,-0.357142857142857
obrigkeit,-0.357142857142857
husch,-0.357142857142857
leiblich,-0.357142857142857
erneuern,-0.357142857142857
nachahmen,-0.357142857142857
allerlieb,-0.357142857142857
nachmittag,-0.357142857142857
einflößen,-0.357142857142857
ekeln,-0.357142857142857
unmöglich,-0.357142857142857
ausschütten,-0.357142857142857
wohlstand,-0.357142857142857
ängsten,-0.357142857142857
anverwandt,-0.357142857142857
verlernen,-0.357142857142857
erführen,-0.357142857142857
schmeichler,-0.357142857142857
hochachtung,-0.348214285714286
großmutter,-0.348214285714286
einiger,-0.348214285714286
zugedenken,-0.348214285714286
galanterie,-0.348214285714286
bersten,-0.348214285714286
zeremonie,-0.348214285714286
verräterei,-0.348214285714286
vermaledeit,-0.348214285714286
entschlossenheit,-0.348214285714286
weissagen,-0.348214285714286
halse,-0.348214285714286
auffangen,-0.348214285714286
gerade,-0.348214285714286
geschlichen,-0.348214285714286
zubereitet,-0.348214285714286
hofmeister,-0.339285714285714
verabscheuen,-0.339285714285714
auslegen,-0.339285714285714
scheinet,-0.339285714285714
genau,-0.339285714285714
regent,-0.339285714285714
beschleunigen,-0.339285714285714
vorbringen,-0.339285714285714
pension,-0.339285714285714
wesentlich,-0.339285714285714
blinde,-0.339285714285714
nachgehen,-0.339285714285714
wörtch,-0.339285714285714
gesegnet,-0.339285714285714
wachsend,-0.339285714285714
hätten,-0.339285714285714
süßigkeit,-0.339285714285714
teuflisch,-0.339285714285714
ergebenheit,-0.339285714285714
vorschrift,-0.339285714285714
hure,-0.330357142857143
buhlerin,-0.330357142857143
verwegenheit,-0.330357142857143
hernach,-0.330357142857143
munterkeit,-0.330357142857143
verwünschung,-0.330357142857143
ermahnen,-0.330357142857143
erschrecklich,-0.330357142857143
unbesonnen,-0.330357142857143
schreibtafel,-0.330357142857143
unbändig,-0.330357142857143
geiz,-0.330357142857143
verwahrung,-0.330357142857143
beteuern,-0.330357142857143
erstgeboren,-0.330357142857143
knoche,-0.330357142857143
kuppler,-0.330357142857143
schandtat,-0.330357142857143
grüntn,-0.330357142857143
innerst,-0.330357142857143
trostlos,-0.330357142857143
zahm,-0.330357142857143
einschränken,-0.330357142857143
kanzel,-0.330357142857143
umsiehen,-0.330357142857143
teuerster,-0.330357142857143
ausschlag,-0.330357142857143
ermangeln,-0.330357142857143
magister,-0.321428571428571
allezeit,-0.321428571428571
elysium,-0.321428571428571
reitknecht,-0.321428571428571
tollhaus,-0.321428571428571
überlisten,-0.321428571428571
anlangen,-0.321428571428571
liebkosung,-0.321428571428571
affäre,-0.321428571428571
schwesterche,-0.321428571428571
blähen,-0.321428571428571
demütigung,-0.321428571428571
hanswurst,-0.321428571428571
fühlend,-0.321428571428571
sieden,-0.321428571428571
exempel,-0.3125
gouverneur,-0.3125
einbilden,-0.3125
vorurteil,-0.3125
veränderung,-0.3125
betrachtung,-0.3125
geheimnisse,-0.3125
hintergehen,-0.3125
albern,-0.3125
niederschlagen,-0.3125
proben,-0.3125
vorwand,-0.3125
betrogen,-0.3125
beschäftigung,-0.3125
lebhaft,-0.3125
